"STAROST";"SPOL";"LETO";Umrli
"32 let";"Moški";"2011";8
"32 let";"Moški";"2012";15
"32 let";"Moški";"2013";14
"32 let";"Moški";"2014";10
"32 let";"Ženske";"2010";10
"32 let";"Ženske";"2011";2
"32 let";"Ženske";"2012";5
"32 let";"Ženske";"2013";2
"32 let";"Ženske";"2014";7
"33 let";"Moški";"2010";14
"33 let";"Moški";"2011";18
"33 let";"Moški";"2012";11
"33 let";"Moški";"2013";10
"33 let";"Moški";"2014";16
"33 let";"Ženske";"2010";2
"33 let";"Ženske";"2011";3
"33 let";"Ženske";"2012";5
"33 let";"Ženske";"2013";7
"33 let";"Ženske";"2014";7
"34 let";"Moški";"2010";15
"34 let";"Moški";"2011";16
"34 let";"Moški";"2012";10
"34 let";"Moški";"2013";13
"34 let";"Moški";"2014";17
"34 let";"Ženske";"2010";5
"34 let";"Ženske";"2011";4
"34 let";"Ženske";"2012";8
"34 let";"Ženske";"2013";7
"34 let";"Ženske";"2014";3
"35 let";"Moški";"2010";14
"35 let";"Moški";"2011";15
"35 let";"Moški";"2012";17
"35 let";"Moški";"2013";14
"35 let";"Moški";"2014";17
"35 let";"Ženske";"2010";9
"35 let";"Ženske";"2011";6
"35 let";"Ženske";"2012";11
"35 let";"Ženske";"2013";4
"35 let";"Ženske";"2014";6
"36 let";"Moški";"2010";20
"36 let";"Moški";"2011";14
"36 let";"Moški";"2012";19
"36 let";"Moški";"2013";18
"36 let";"Moški";"2014";17
"36 let";"Ženske";"2010";7
"36 let";"Ženske";"2011";9
"36 let";"Ženske";"2012";5
"36 let";"Ženske";"2013";10
"36 let";"Ženske";"2014";9
"37 let";"Moški";"2010";15
"37 let";"Moški";"2011";15
"37 let";"Moški";"2012";16
"37 let";"Moški";"2013";21
"37 let";"Moški";"2014";18
"37 let";"Ženske";"2010";6
"37 let";"Ženske";"2011";3
"37 let";"Ženske";"2012";10
"37 let";"Ženske";"2013";12
"37 let";"Ženske";"2014";10
"38 let";"Moški";"2010";18
"38 let";"Moški";"2011";17
"38 let";"Moški";"2012";15
"38 let";"Moški";"2013";18
"38 let";"Moški";"2014";20
"38 let";"Ženske";"2010";11
"38 let";"Ženske";"2011";6
"38 let";"Ženske";"2012";1
"38 let";"Ženske";"2013";8
"38 let";"Ženske";"2014";4
"39 let";"Moški";"2010";20
"39 let";"Moški";"2011";21
"39 let";"Moški";"2012";19
"39 let";"Moški";"2013";26
"39 let";"Moški";"2014";22
"39 let";"Ženske";"2010";6
"39 let";"Ženske";"2011";13
"39 let";"Ženske";"2012";4
