"Prebivalstvo po: STAROST, SPOL , POLLETJE"

"0 let"
" ";"Moški"
" ";" ";"2015H2";10082
" ";"Ženske"
" ";" ";"2010H2";10079
" ";" ";"2011H2";9975
" ";" ";"2012H2";9892
" ";" ";"2013H2";9655
" ";" ";"2014H2";9481
" ";" ";"2015H2";9516
"19 let"
" ";"Moški"
" ";" ";"2010H2";11705
" ";" ";"2011H2";10765
" ";" ";"2012H2";10695
" ";" ";"2013H2";10392
" ";" ";"2014H2";10159
" ";" ";"2015H2";10106
" ";"Ženske"
" ";" ";"2010H2";11235
" ";" ";"2011H2";10106
" ";" ";"2012H2";10008
" ";" ";"2013H2";9909
" ";" ";"2014H2";9715
" ";" ";"2015H2";9510
"20 let"
" ";"Moški"
" ";" ";"2010H2";12170
" ";" ";"2011H2";11715
" ";" ";"2012H2";10842
" ";" ";"2013H2";10770
" ";" ";"2014H2";10475
" ";" ";"2015H2";10222
" ";"Ženske"
" ";" ";"2010H2";11246
" ";" ";"2011H2";11308
" ";" ";"2012H2";10185
" ";" ";"2013H2";10080
" ";" ";"2014H2";10007
" ";" ";"2015H2";9774
"21 let"
" ";"Moški"
" ";" ";"2010H2";13143
" ";" ";"2011H2";12158
" ";" ";"2012H2";11746
" ";" ";"2013H2";10885
" ";" ";"2014H2";10812
" ";" ";"2015H2";10510
" ";"Ženske"
" ";" ";"2010H2";11978
" ";" ";"2011H2";11311
" ";" ";"2012H2";11380
" ";" ";"2013H2";10264
" ";" ";"2014H2";10135
" ";" ";"2015H2";10023
"22 let"
" ";"Moški"
" ";" ";"2010H2";14237
" ";" ";"2011H2";13112
" ";" ";"2012H2";12175
" ";" ";"2013H2";11793
" ";" ";"2014H2";10910
" ";" ";"2015H2";10835
" ";"Ženske"
" ";" ";"2010H2";12876
" ";" ";"2011H2";12050
" ";" ";"2012H2";11381
" ";" ";"2013H2";11428
" ";" ";"2014H2";10308
" ";" ";"2015H2";10195
"23 let"
" ";"Moški"
" ";" ";"2010H2";14092
" ";" ";"2011H2";14183
" ";" ";"2012H2";13127
" ";" ";"2013H2";12246
" ";" ";"2014H2";11829
" ";" ";"2015H2";10966
" ";"Ženske"
" ";" ";"2010H2";12880
" ";" ";"2011H2";12930
" ";" ";"2012H2";12127
" ";" ";"2013H2";11450
" ";" ";"2014H2";11481
" ";" ";"2015H2";10367
"24 let"
" ";"Moški"
" ";" ";"2010H2";13951
" ";" ";"2011H2";13999
" ";" ";"2012H2";14183
" ";" ";"2013H2";13149
" ";" ";"2014H2";12252
" ";" ";"2015H2";11864
" ";"Ženske"
" ";" ";"2010H2";12582
" ";" ";"2011H2";12926
" ";" ";"2012H2";12998
" ";" ";"2013H2";12180
" ";" ";"2014H2";11492
" ";" ";"2015H2";11473
"25 let"
" ";"Moški"
" ";" ";"2010H2";14759
" ";" ";"2011H2";13849
" ";" ";"2012H2";14006
" ";" ";"2013H2";14242
" ";" ";"2014H2";13160
" ";" ";"2015H2";12282
" ";"Ženske"
" ";" ";"2010H2";13480
" ";" ";"2011H2";12621
" ";" ";"2012H2";13015
" ";" ";"2013H2";13080
" ";" ";"2014H2";12186
" ";" ";"2015H2";11490
"26 let"
" ";"Moški"
" ";" ";"2010H2";15057
" ";" ";"2011H2";14735
" ";" ";"2012H2";13872
" ";" ";"2013H2";14098
" ";" ";"2014H2";14214
" ";" ";"2015H2";13158
" ";"Ženske"
" ";" ";"2010H2";13449
" ";" ";"2011H2";13517
" ";" ";"2012H2";12696
" ";" ";"2013H2";13082
" ";" ";"2014H2";13060
" ";" ";"2015H2";12153
"27 let"
" ";"Moški"
" ";" ";"2010H2";15286
" ";" ";"2011H2";14989
" ";" ";"2012H2";14729
" ";" ";"2013H2";13883
" ";" ";"2014H2";14111
" ";" ";"2015H2";14189
" ";"Ženske"
" ";" ";"2010H2";13868
" ";" ";"2011H2";13527
" ";" ";"2012H2";13564
" ";" ";"2013H2";12751
" ";" ";"2014H2";13070
" ";" ";"2015H2";13035
"28 let"
" ";"Moški"
" ";" ";"2010H2";16176
" ";" ";"2011H2";15233
